UserID,Name,Gender,Interests,Country,language,age,rate,price/h
99654,Juanita Dilsaver,Female,"'Movies', 'Fitness', 'Pets', 'Movies', 'Science'",Ecuador,'Spanish',35,5,10
20983,Ethel Hale,Female,"'Sports', 'Outdoor activities', 'Photography'",China,"'Hindi', 'Russian', 'Portuguese'",63,3.5,23
62948,Benjamin Charlton,Male,"'Cooking', 'Social causes and activism', 'Photography'",India,"'Portuguese', 'English', 'Chinese'",65,4.5,20
51749,Paul White,Male,'Social causes and activism',Netherlands,'French',46,4.8,24
88967,Joyce Presnell,Female,"'Outdoor activities', 'Fashion', 'Gardening'",India,'French',63,2.8,15
90834,James Clark,Female,"'Movies', 'Nature', 'Music', 'DIY and crafts', 'Fashion'",Spain,"'German', 'Italian'",27,3.1,19
65198,Patricia Olson,Female,"'DIY and crafts', 'Health and wellness'",Canada,"'English', 'Italian', 'Hindi', 'Russian'",28,2.8,10
25590,Jennifer Harris,Male,"'Cooking', 'Food and dining'",India,"'English', 'Italian'",37,4.5,18
98822,Rodney Pendleton,Male,"'Gaming', 'Outdoor activities', 'Nature'",Japan,"'Arabic', 'English'",37,1.3,21
79479,Melissa Diggins,Male,"'Music', 'Science', 'Gaming'",Algeria,"'Portuguese', 'Spanish'",50,4.3,18
28760,Ray Jackson,Male,"'Food and dining', 'Nature', 'Fashion', 'Gaming'",Canada,"'Russian', 'French'",48,3.6,19
60784,Gladys Salter,Male,'History',Belgium,"'Arabic', 'Japanese', 'French', 'Russian'",22,3.3,25
23649,Kelly Stokes,Male,"'Cooking', 'Pets', 'Social causes and activism', 'Cars and automobiles'",Spain,'Spanish',68,3.9,23
30116,Maria Bridgers,Female,"'Photography', 'Gaming'",China,"'Arabic', 'French'",58,4.1,24
391,Numbers Davino,Female,"'Cooking', 'Technology', 'Travel'",Colombia,"'Portuguese', 'French', 'German', 'Italian'",30,2.2,23
10581,Faye Miller,Female,"'Gaming', 'Science', 'Art'",Turkey,"'English', 'French', 'Japanese'",65,4.6,15
4199,James Wagner,Male,"'Photography', 'Parenting and family', 'Finance and investments', 'Gardening'",Austria,'Arabic',59,1,16
86497,Joseph Nystrom,Male,"'Business and entrepreneurship', 'Art', 'Health and wellness', 'Music'",Malaysia,'Russian',61,2.6,22
31029,Stephen Weiss,Female,"'Movies', 'Cars and automobiles'",Philippines,"'Hindi', 'Japanese'",41,1,18
7566,Kevin Vent,Female,'Food and dining',Mexico,"'Spanish', 'Russian', 'Hindi'",39,3.1,14
29300,Trudy Aderholt,Female,"'Sports', 'Cooking'",Thailand,"'Russian', 'Italian'",51,4.9,19
13521,Ronald Railsback,Female,"'Beauty', 'Gardening', 'Politics'",United States,"'Spanish', 'Chinese', 'Hindi'",24,1.6,22
71895,Mable Higginbotham,Female,'Gaming',South Africa,"'French', 'Hindi', 'Arabic', 'English'",29,1,20
97080,Rodney Creed,Male,"'Art', 'Food and dining', 'Outdoor activities'",India,"'Spanish', 'Russian', 'English', 'Arabic'",44,2.3,12
60948,Sonia Lee,Female,"'DIY and crafts', 'Sports', 'Technology', 'Parenting and family'",Belgium,'Portuguese',65,1.2,12
43327,Margaret Kim,Male,"'Politics', 'Fashion', 'Photography', 'Cars and automobiles'",Australia,'German',55,1.8,12
29144,Alejandra Geiser,Male,"'Music', 'Politics'",Japan,"'English', 'Arabic', 'Hindi', 'Portuguese'",47,1.3,15
65019,William Walker,Male,"'Business and entrepreneurship', 'Business and entrepreneurship', 'Gardening', 'Fashion', 'Gardening'",Italy,'Italian',22,1.8,18
90835,Melissa Conley,Female,"'Fitness', 'Beauty', 'Politics', 'Fashion'",Mexico,"'Italian', 'German', 'Japanese', 'Arabic'",53,4.8,18
22256,Sharon Turner,Female,"'Books', 'Beauty', 'Politics', 'Technology', 'Science'",India,"'Portuguese', 'Japanese'",32,3.6,16
66080,Corina Simpson,Female,"'Cooking', 'Art'",Poland,"'Russian', 'Italian', 'Portuguese', 'Hindi'",69,2.1,25
97112,Lakeshia Aldredge,Female,"'Fashion', 'Pets', 'Gaming', 'Nature'",Kazakhstan,"'Hindi', 'Portuguese'",39,3.1,15
29861,Stephanie Kelson,Male,"'Nature', 'Education and learning', 'Books', 'Politics', 'Social causes and activism'",Egypt,'Russian',35,2.2,18
33501,Edward Stanback,Male,"'Photography', 'Photography', 'Education and learning', 'History', 'Finance and investments'",Australia,"'Spanish', 'Russian'",56,4,23
57769,Kevin Garza,Male,"'Education and learning', 'Sports', 'Education and learning', 'Sports', 'Fashion'",United States,"'Russian', 'Hindi'",34,4.6,16
41502,Kenneth Hall,Male,"'Education and learning', 'Outdoor activities', 'Art', 'Outdoor activities', 'Business and entrepreneurship'",Algeria,"'German', 'Japanese', 'Italian'",67,1.8,18
18403,Kim Perez,Female,'Sports',India,"'Hindi', 'Italian', 'English'",38,4.9,15
9060,Cathleen Carter,Female,"'Pets', 'Photography'",Tonga,"'Italian', 'French', 'Chinese'",41,4.8,13
27569,Fletcher Rowland,Male,"'Science', 'Books'",United States,"'English', 'Portuguese'",29,2.6,10
23542,Angel Perdue,Female,"'Photography', 'Education and learning', 'History', 'Politics'",Japan,"'German', 'Russian', 'Chinese', 'English'",35,3.4,10
36628,Mary Graves,Female,"'Cars and automobiles', 'Gardening', 'Fitness', 'Science'",Indonesia,"'Japanese', 'Russian'",32,1.7,24
63262,Willie Morse,Female,"'Music', 'Fashion', 'Music'",Germany,'English',59,3.2,10
67375,Eric Catalan,Male,"'Outdoor activities', 'Fitness', 'Business and entrepreneurship'",Philippines,'Chinese',64,3.5,14
16170,Otha Ramsey,Male,"'Parenting and family', 'Business and entrepreneurship', 'Art', 'DIY and crafts', 'Business and entrepreneurship'",Philippines,"'Arabic', 'Hindi'",44,2.5,12
91454,Christopher Fletcher,Female,"'Education and learning', 'Social causes and activism', 'Politics', 'Music'",Brazil,"'Portuguese', 'Spanish'",45,3.3,25
1663,Michael Henderson,Female,"'Beauty', 'Art', 'Education and learning', 'Finance and investments', 'Pets'",Mexico,"'Spanish', 'French', 'Japanese', 'English'",49,2.2,21
56878,Oscar Bradford,Female,"'Business and entrepreneurship', 'Pets', 'Politics', 'Cars and automobiles', 'Finance and investments'",Egypt,"'English', 'French', 'Russian', 'Italian'",42,3.7,17
73075,Betty Collins,Male,"'Fashion', 'Photography', 'Movies'",Suriname,'Italian',62,4.7,17
75109,Christine Rushing,Female,"'Music', 'Food and dining', 'Travel'",Belgium,"'Chinese', 'Portuguese', 'Italian'",31,3,18
74382,Lakeisha Hutcherson,Male,'Books',Japan,'French',37,3.3,15
